CNAE,TOTAL
"0121101","2349"
"0133499","1"
"0155501","1"
"0159801","3296"
"0159802","6445"
"0159899","1"
"0161002","5974"
"0161003","43722"
"0161099","1"
"0162802","317"
"0230600","1"
"0321304","729"
"0322101","2"
"0322104","2103"
"0600003","1"
"0810006","1"
"0892401","164"
"0899199","1"
"1013901","5518"
"1031700","7357"
"1032599","1744"
"1033301","1817"
"1033302","2670"
"1052000","4869"
"1061902","209"
"1063500","1460"
"1064300","482"
"1065101","660"
"1066000","1"
"1069400","477"
"1071600","590"
"1081302","1"
"1091101","43462"
"1091102","153514"
"1092900","6671"
"1093701","9927"
"1093702","1819"
"1094500","21044"
"1095300","4078"
"1096100","27602"
"1099601","148"
"1099604","2362"
"1099605","696"
"1099699","872"
"1113502","1"
"1122403","353"
"1122499","1"
"1220402","1"
"1220499","551"
"1311100","159"
"1312000","162"
"1321900","281"
"1322700","887"
"1330800","1"
"1340501","12866"
"1340599","20447"
"1351100","5940"
"1352900","8558"
"1353700","301"
"1354500","2"
"1359600","38373"
"1411801","8198"
"1411802","4726"
"1412601","133268"
"1412602","109001"
"1412603","42118"
"1413401","2"
"1413403","6738"
"1414200","1397"
"1421500","168"
"1422300","11038"
"1510600","238"
"1521100","6136"
"1529700","6841"
"1531901","5775"
"1531902","5435"
"1539400","7102"
"1540800","2353"
"1622602","2"
"1622699","20906"
"1623400","1004"
"1629301","23605"
"1629302","3554"
"1721400","314"
"1731100","1891"
"1732000","1060"
"1742799","116"
"1749400","20087"
"1811301","1"
"1813001","17717"
"1813099","19830"
"1821100","23949"
"1822901","3551"
"1830001","2"
"1830002","1"
"2063100","1"
"2219600","3198"
"2229399","3924"
"2319200","1641"
"2330301","1"
"2330302","3"
"2330399","12139"
"2342702","883"
"2349499","6534"
"2391501","1154"
"2391503","13055"
"2399101","3371"
"2452100","1"
"2511000","1"
"2512800","17465"
"2532201","5416"
"2539001","51105"
"2539002","1419"
"2541100","957"
"2542000","91591"
"2543800","6363"
"2593400","1"
"2599301","13068"
"2599302","1"
"2599399","6090"
"2710401","1"
"2740602","810"
"2829199","1"
"2950600","3517"
"3101200","107029"
"3102100","1283"
"3103900","4880"
"3104700","604"
"3211601","1170"
"3211602","2134"
"3211603","47"
"3212400","28059"
"3220500","1005"
"3230200","1004"
"3240099","2314"
"3250706","3"
"3291400","1695"
"3292202","1008"
"3299001","103"
"3299002","1025"
"3299003","8078"
"3299004","3175"
"3299005","984"
"3299006","3176"
"3299099","96151"
"3311200","3251"
"3312103","2"
"3313901","7709"
"3313902","333"
"3313999","5545"
"3314701","1687"
"3314702","7261"
"3314706","2046"
"3314707","21191"
"3314708","1"
"3314709","627"
"3314710","4964"
"3314711","9445"
"3314712","2769"
"3314713","3"
"3314718","1"
"3314719","3547"
"3314720","3561"
"3314799","3904"
"3317102","3255"
"3319800","5958"
"3321000","35794"
"3329501","48646"
"3600602","2494"
"3702900","2169"
"3811400","16360"
"3831901","8837"
"3831999","5228"
"3832700","7549"
"3839499","5533"
"4110700","1"
"4120400","37"
"4213800","3"
"4221902","1"
"4222701","1"
"4292801","3"
"4312600","1"
"4313400","2"
"4321500","275984"
"4322301","30711"
"4322302","75838"
"4322303","4899"
"4329101","8058"
"4329102","561"
"4329103","2322"
"4329104","2070"
"4329105","2671"
"4329199","2"
"4330401","3"
"4330402","16528"
"4330403","45185"
"4330404","206944"
"4330405","33930"
"4330499","31772"
"4391600","1"
"4399101","1"
"4399102","1"
"4399103","684204"
"4399105","3034"
"4399199","21291"
"4511102","8"
"4512901","1"
"4512902","3"
"4520001","177845"
"4520002","81034"
"4520003","30299"
"4520005","106469"
"4520006","42806"
"4520007","42605"
"4520008","3914"
"4530701","4"
"4530703","81809"
"4530704","15436"
"4530705","4980"
"4541201","2"
"4541203","1"
"4541206","49643"
"4541207","2968"
"4543900","45108"
"4612500","1"
"4613300","1"
"4616800","1"
"4617600","2"
"4618401","2"
"4619200","9"
"4622200","1"
"4623109","1"
"4632003","1"
"4634603","1"
"4635401","1"
"4635499","3"
"4637101","1"
"4637104","1"
"4637106","1"
"4637107","1"
"4637199","1"
"4639701","5"
"4642701","3"
"4642702","1"
"4643501","1"
"4644301","1"
"4645101","1"
"4646001","2"
"4647801","1"
"4649401","1"
"4649410","1"
"4649499","2"
"4651601","3"
"4651602","1"
"4652400","1"
"4661300","2"
"4669999","1"
"4679699","2"
"4681805","1"
"4684201","1"
"4685100","2"
"4686902","1"
"4687701","1"
"4687702","1"
"4687703","1"
"4689302","1"
"4689399","2"
"4691500","1"
"4692300","1"
"4693100","1"
"4711301","6"
"4711302","9"
"4712100","312799"
"4713002","48306"
"4713004","12"
"4721102","59401"
"4721103","31299"
"4721104","18428"
"4722901","40608"
"4722902","16181"
"4723700","286474"
"4724500","116971"
"4729601","18207"
"4729602","2"
"4729699","134551"
"4731800","1"
"4732600","4013"
"4741500","4767"
"4742300","16891"
"4743100","16566"
"4744001","24010"
"4744002","8483"
"4744003","4146"
"4744004","8214"
"4744005","2"
"4744006","4"
"4744099","87285"
"4751201","72426"
"4751202","2608"
"4752100","64568"
"4753900","36510"
"4754701","31383"
"4754702","16122"
"4754703","4434"
"4755501","7765"
"4755502","97331"
"4755503","72467"
"4756300","4339"
"4757100","27224"
"4759801","11305"
"4759899","31895"
"4761001","8375"
"4761002","5754"
"4761003","23127"
"4762800","3663"
"4763601","23450"
"4763602","22353"
"4763603","20123"
"4763604","8654"
"4771701","5"
"4771704","1"
"4772500","202541"
"4773300","11824"
"4774100","25543"
"4781400","1007497"
"4782201","57937"
"4782202","4097"
"4783101","38026"
"4783102","7209"
"4784900","5"
"4785701","1487"
"4785799","21390"
"4789001","65682"
"4789002","25301"
"4789003","7724"
"4789004","84457"
"4789005","42205"
"4789007","6560"
"4789008","7068"
"4789099","109402"
"4921301","1"
"4923001","96983"
"4924800","54423"
"4929901","81530"
"4929902","30967"
"4929903","1669"
"4929904","1"
"4929999","110"
"4930201","328641"
"4930202","121301"
"4930203","1079"
"4930204","29010"
"5011401","746"
"5021101","969"
"5091201","809"
"5091202","890"
"5099801","3119"
"5099899","2349"
"5211702","1496"
"5212500","32557"
"5223100","13141"
"5229002","12834"
"5229099","228954"
"5231102","1"
"5240199","2"
"5310502","1680"
"5320201","87165"
"5320202","242636"
"5510801","16"
"5590601","1343"
"5590602","1315"
"5590603","5947"
"5590699","21952"
"5611201","286992"
"5611203","378350"
"5611204","166003"
"5611205","71112"
"5612100","250648"
"5620101","32902"
"5620102","50490"
"5620103","9766"
"5620104","425344"
"5811500","20076"
"5812300","277"
"5812301","19252"
"5812302","14129"
"5813100","16573"
"5819100","88777"
"5822101","1"
"5829800","2"
"5911101","4"
"5911102","1"
"5911199","7"
"5912001","1744"
"5912002","1"
"5912099","75326"
"5913800","1"
"5920100","1"
"6010100","1"
"6190601","1"
"6190699","28343"
"6201501","6"
"6201502","2"
"6204000","6"
"6209100","3"
"6311900","2"
"6319400","9"
"6391700","1"
"6399200","8638"
"6619302","3"
"6619399","2"
"6622300","4"
"6810201","1"
"6821801","9"
"6822600","3"
"6911702","1"
"6920601","28"
"6920602","1"
"7020400","14"
"7111100","4"
"7112000","12"
"7119701","1"
"7119703","1"
"7120100","1"
"7210000","1"
"7311400","10"
"7319002","657537"
"7319003","20"
"7319004","2"
"7319099","15827"
"7410202","14"
"7410299","3"
"7420001","89791"
"7420002","3254"
"7420003","1290"
"7420004","16703"
"7490101","1"
"7490102","876"
"7490103","1"
"7490104","7"
"7490199","7"
"7500100","3"
"7711000","3"
"7719599","2117"
"7721700","14437"
"7722500","1432"
"7723300","5159"
"7729201","1731"
"7729202","19029"
"7729203","518"
"7729299","299"
"7731400","3912"
"7732201","8658"
"7732202","1664"
"7733100","1531"
"7739002","1299"
"7739003","4044"
"7739099","7391"
"7740300","1"
"7911200","52614"
"7912100","11726"
"7990200","7826"
"8011101","3"
"8011102","1906"
"8020001","2"
"8020002","6814"
"8111700","2"
"8121400","3"
"8122200","1"
"8129000","21927"
"8130300","81791"
"8211300","54"
"8219901","10478"
"8219999","359879"
"8230001","195114"
"8230002","22671"
"8291100","37584"
"8292000","3948"
"8299701","1"
"8299703","473"
"8299707","11109"
"8299799","14186"
"8511200","2"
"8512100","1"
"8513900","2"
"8532500","1"
"8541400","1"
"8550302","2"
"8591100","7"
"8592901","4"
"8592902","5212"
"8592903","18638"
"8592999","61455"
"8593700","20593"
"8599603","39996"
"8599604","173098"
"8599605","25347"
"8599699","261836"
"8610101","1"
"8630503","2"
"8630504","2"
"8640202","1"
"8650001","4"
"8650002","3"
"8650003","1"
"8650004","1"
"8650005","1"
"8650006","1"
"8650099","1"
"8660700","1"
"8690901","3"
"8690904","2"
"8690999","1"
"8712300","167503"
"9001901","12246"
"9001902","68646"
"9001903","2"
"9001906","26862"
"9001999","4"
"9002701","5"
"9002702","2226"
"9311500","2"
"9312300","2"
"9313100","16"
"9319101","2"
"9329801","1"
"9329803","857"
"9329804","1040"
"9329899","14897"
"9511800","145856"
"9512600","62964"
"9521500","36183"
"9529101","5246"
"9529102","19196"
"9529103","2914"
"9529104","8622"
"9529105","22054"
"9529106","4913"
"9529199","11893"
"9601701","13632"
"9601702","281"
"9601703","2026"
"9602501","1030033"
"9602502","332116"
"9603304","2495"
"9609202","1960"
"9609206","36434"
"9609207","7911"
"9609208","51912"
"9609299","34337"
"9700500","276984"
